student,exercise
204,"[6, 9, 11, 15, 20]"
205,"[6, 7, 10, 14, 15, 17]"
206,"[1, 6, 7, 15, 16, 19, 20]"
207,"[4, 8, 10, 14, 15, 17, 19, 20]"
208,[15]
209,"[7, 10, 16, 18, 19, 20]"
210,"[8, 10, 11, 14, 15, 17, 19, 20]"
211,"[8, 10, 11, 14, 15, 17, 19, 20]"
212,"[18, 20, 6, 15]"
213,"[6, 9, 10, 15, 16, 18, 19, 20]"
214,"[5, 6, 7, 10, 12, 15, 19, 20]"
215,"[19, 6, 7]"
216,"[6, 7, 10, 12, 15, 16, 19, 20]"
217,"[6, 9, 10, 11, 15, 18, 19, 20]"
218,[20]
219,"[6, 7, 10, 18, 19, 20]"
220,"[3, 9, 10, 11, 13, 18, 20]"
221,"[6, 10, 15, 16, 19, 20]"
222,"[6, 9, 10, 12, 15, 16]"
223,"[6, 9, 10, 11, 15, 18, 19, 20]"
224,"[6, 10, 14, 15, 19]"
225,"[6, 10, 11, 12, 15, 16, 19, 20]"
226,"[1, 6, 10, 11, 15, 16, 20]"
227,"[20, 7, 15]"
228,"[8, 17]"
229,[9]
230,"[6, 7, 9, 10, 12, 15, 19]"
231,"[6, 9, 10, 15, 16, 18, 19]"
232,"[6, 9, 16, 18, 19, 20]"
233,"[9, 10, 16, 18, 20]"
234,"[1, 4, 10, 14, 15, 16, 17]"
235,"[4, 8, 10, 14, 15, 17, 19, 20]"
236,"[2, 7, 9, 10, 15, 19, 20]"
237,"[2, 7, 10, 12, 15, 19, 20]"
238,"[6, 9, 10, 15, 20]"
239,"[6, 7, 9, 10, 12, 20]"
240,"[10, 19]"
241,"[6, 9, 10, 12, 15, 16, 19, 20]"
242,"[6, 9, 10, 12, 15, 16, 19, 20]"
243,"[6, 10, 11, 15, 16, 19, 20]"
244,"[4, 8, 10, 17, 19, 20]"
245,"[6, 9, 10, 12, 16, 19, 20]"
246,"[1, 10, 19, 6]"
247,"[10, 14, 15, 17, 19]"
248,"[1, 14, 15, 17, 19]"
249,"[6, 9, 11, 18, 20]"
250,"[6, 9, 10, 12, 16, 19]"
251,"[2, 6, 10, 18, 20]"
252,"[15, 17, 18, 19, 20]"
253,[14]
254,"[9, 10, 11, 15, 19]"
255,"[5, 6, 7, 10, 15, 19, 20]"
256,"[2, 9, 10, 15, 18, 19, 20]"
257,"[9, 10, 15, 16, 18, 19, 20]"
258,"[4, 8, 14, 15, 17, 19, 20]"
259,"[8, 15, 17, 19, 20]"
260,"[1, 4, 8, 10, 14, 15, 17, 20]"
261,"[6, 7, 10, 15, 18, 19, 20]"
262,"[1, 10, 12, 17, 19, 20]"
263,"[16, 9]"
264,"[12, 15, 16, 18, 19, 20]"
265,"[6, 10, 11, 15, 19]"
266,"[6, 10, 15, 16, 18, 19, 20]"
267,"[6, 9, 10, 15, 18, 19, 20]"
268,"[9, 10, 14, 15, 17, 18, 19, 20]"
269,"[6, 11, 14, 15, 18]"
270,"[2, 6, 9, 10, 15, 18, 19, 20]"
271,"[4, 7, 9, 18, 19]"
272,"[9, 10, 14, 15, 16, 18, 19, 20]"
273,"[10, 19, 14, 7]"
274,"[10, 14, 15, 16, 17, 19]"
275,"[4, 8, 10, 14, 15, 17, 19]"
276,"[4, 8, 10, 14, 15, 17, 19, 20]"
277,"[6, 9, 10, 11, 15, 16]"
278,"[5, 7, 10, 12, 19]"
279,"[6, 7, 10, 12, 15, 19, 20]"
280,"[9, 10, 15, 18, 19]"
281,"[6, 9, 10, 12, 15, 16, 19, 20]"
282,"[6, 8, 10, 14, 15, 17, 19, 20]"
283,"[8, 17, 10]"
284,"[7, 10, 15, 19, 20]"
285,"[2, 9, 15, 18, 19]"
286,"[16, 10, 20, 12]"
287,"[2, 6, 9, 10, 15, 18, 19, 20]"
288,"[9, 11, 15, 18, 19]"
289,"[6, 10, 11, 14, 15, 19]"
290,"[5, 6, 7, 10, 12, 15]"
291,"[7, 9, 12, 15, 18, 19, 20]"
292,"[8, 10, 19, 4]"
293,"[6, 9, 10, 12, 15, 16, 19, 20]"
294,"[6, 9, 10, 15, 16, 18, 19, 20]"
295,[14]
296,"[8, 17, 10, 14]"
297,"[7, 10, 11, 12, 15, 19, 20]"
298,"[2, 9, 10, 11, 15, 18, 19, 20]"
299,"[9, 18, 19, 20]"
300,[17]
301,"[6, 7, 9, 15, 20]"
302,"[6, 10, 15, 16, 17, 18, 19, 20]"
303,"[16, 1, 10, 18]"
304,"[10, 11, 18, 19, 20]"
305,"[1, 15, 16, 19, 20]"
306,"[6, 7, 15, 19, 20]"
307,[15]
308,"[6, 9, 11, 12, 15, 19, 20]"
309,"[1, 20, 15]"
310,"[10, 15, 18, 19, 20]"
311,[15]
312,"[8, 17, 20]"
313,"[16, 10, 12, 6]"
314,"[6, 9, 10, 15, 16, 18, 19, 20]"
315,"[10, 16, 17, 19, 20]"
316,"[16, 17, 19, 6]"
317,"[9, 19, 6, 15]"
318,"[1, 9, 10, 15, 16, 18, 19, 20]"
319,[20]
320,[20]
321,"[19, 10, 18, 15]"
322,"[1, 14, 16, 17, 19]"
323,"[20, 7]"
324,"[9, 10, 12, 15, 16, 19]"
325,"[1, 9, 10, 15, 16, 18, 19, 20]"
326,"[2, 6, 9, 10, 15, 18, 19, 20]"
327,"[2, 19]"
328,"[6, 10, 12, 15, 16, 19, 20]"
329,"[6, 10, 14, 15, 17, 18, 19]"
330,"[3, 9, 10, 13, 15, 19, 20]"
331,"[1, 9, 10, 16, 18]"
332,"[9, 20, 15, 7]"
333,"[1, 19, 14, 15]"
334,"[10, 11, 15, 18, 19]"
335,"[6, 9, 10, 15, 18, 19, 20]"
336,"[6, 8, 10, 15, 19]"
337,"[8, 10, 14, 17, 20]"
338,"[4, 8, 10, 14, 19]"
339,"[2, 6, 9, 10, 15, 18, 19, 20]"
340,[8]
341,"[6, 10, 15, 16, 18, 19]"
342,"[1, 9, 10, 15, 16, 19]"
343,"[6, 10, 14, 15, 16, 17]"
344,"[1, 4, 7, 10, 15, 16, 19, 20]"
345,"[19, 20, 12, 6]"
346,"[1, 10, 15, 16, 19]"
347,"[6, 9, 10, 15, 16, 18, 19]"
348,"[6, 7, 10, 12, 16, 19, 20]"
349,"[2, 6, 9, 15, 16, 19, 20]"
350,"[1, 6, 15, 16, 18, 19, 20]"
351,"[10, 19]"
352,"[8, 17, 14, 15]"
353,"[4, 6, 8, 10, 14, 15]"
354,"[11, 7]"
355,"[1, 10, 17, 19, 20]"
356,"[9, 10, 15, 17, 18, 19]"
357,"[4, 8, 10, 15, 17]"
358,"[1, 14, 15, 16, 19, 20]"
359,"[6, 10, 12, 15, 19]"
360,"[2, 6, 9, 10, 15, 20]"
361,"[1, 6, 10, 15, 16, 18, 19, 20]"
362,"[7, 10, 14, 15, 17, 19, 20]"
363,"[5, 6, 10, 15, 16, 19, 20]"
364,"[9, 10, 15, 16, 19]"
365,"[7, 10, 12, 15, 16, 19, 20]"
366,"[6, 15, 16, 18, 20]"
367,"[2, 6, 9, 15, 18, 20]"
368,"[1, 6, 10, 15, 16, 18, 19, 20]"
369,"[1, 6, 10, 15, 16, 20]"
370,"[16, 10, 19, 20]"
371,"[7, 15]"
372,"[15, 16, 17, 19, 20]"
373,"[6, 10, 18, 19, 20]"
374,"[9, 10, 11, 15, 16, 19, 20]"
375,"[6, 9, 10, 15, 16, 18, 19, 20]"
376,"[2, 6, 9, 10, 15, 16, 19, 20]"
377,"[6, 10, 15, 16, 17, 19, 20]"
378,"[6, 7, 10, 11, 15, 18, 19]"
379,"[5, 6, 7, 10, 12, 15, 19, 20]"
380,"[10, 6, 15]"
381,"[8, 10, 11, 14, 15, 17, 19]"
382,[10]
383,"[1, 9, 10, 16, 19]"
384,"[9, 10, 11, 15, 16, 19]"
385,"[1, 6, 15, 16, 18, 19, 20]"
386,"[5, 6, 7, 10, 12, 15, 16, 19]"
387,"[2, 6, 9, 10, 15, 18, 19, 20]"
388,"[1, 6, 10, 15, 16, 18, 19, 20]"
389,"[17, 10, 20]"
390,"[1, 10, 11, 15, 16, 18, 19, 20]"
391,"[2, 6, 9, 10, 15, 18, 19, 20]"
392,"[8, 1, 10, 14]"
393,"[8, 10, 15, 16, 17, 19, 20]"
394,"[1, 7, 16, 18, 19, 20]"
395,"[6, 9, 10, 16, 18, 19, 20]"
396,"[17, 10, 12, 4]"
397,"[4, 8, 10, 14, 15, 17, 19, 20]"
398,"[17, 20]"
399,"[6, 9, 10, 11, 15, 18, 19, 20]"
400,"[9, 11, 15, 16, 20]"
401,"[17, 20, 6]"
402,"[6, 7, 10, 12, 15, 16, 19]"
403,"[6, 9, 11, 15, 16, 19, 20]"
404,"[6, 7, 10, 15, 18, 19]"
405,"[10, 11, 15, 17, 18, 19, 20]"
406,"[1, 10, 20, 15]"
407,"[1, 9, 10, 15, 16, 18, 19, 20]"
408,"[1, 10, 15, 16, 19, 20]"
409,"[2, 6, 9, 10, 15, 16, 19, 20]"
410,"[8, 10, 14, 15, 17, 18, 19, 20]"
411,"[16, 10]"
412,"[9, 7]"
413,"[1, 20, 15]"
414,"[16, 10, 19]"
415,"[6, 10, 16, 19, 20]"
416,"[6, 9, 11, 15, 16]"
417,"[6, 10, 12, 15, 16, 19, 20]"
418,"[1, 10, 14, 15, 16, 17, 20]"
419,"[2, 7, 9, 10, 11, 15, 19, 20]"
420,"[16, 4, 14, 15]"
421,"[6, 10, 11, 15, 18, 19, 20]"
422,"[4, 7, 10, 15, 17, 19]"
423,"[16, 19, 12]"
424,"[6, 10, 14, 15, 16, 17, 19, 20]"
425,"[6, 7, 10, 11, 15, 18, 19, 20]"
426,"[5, 6, 9, 10, 12, 15]"
427,"[11, 9, 19, 20]"
428,"[1, 9, 10, 12, 15, 16, 19, 20]"
429,"[6, 8, 10, 14, 15, 17, 19, 20]"
430,"[6, 9, 10, 15, 16, 19, 20]"
431,"[6, 7, 9, 15, 18, 19]"
432,"[6, 7, 10, 11, 12, 15, 19, 20]"
433,"[2, 3, 9, 10, 13, 15, 18, 20]"
434,"[4, 6, 14, 15, 17, 19]"
435,"[7, 9, 10, 12, 15, 16]"
436,"[1, 9, 15, 16, 20]"
437,"[8, 10, 14, 15, 17, 20]"
438,"[1, 6, 10, 11, 15]"
439,"[1, 7, 10, 15, 16, 19, 20]"
440,"[2, 6, 9, 10, 15, 18, 19, 20]"
441,"[9, 10, 15, 18, 19, 20]"
442,"[6, 9, 10, 15, 16, 18, 19, 20]"
443,"[2, 6, 9, 10, 15, 18, 19, 20]"
444,"[3, 9, 13, 15, 18, 19]"
445,"[7, 9, 10, 15, 16, 19, 20]"
446,"[10, 11, 14, 15, 19]"
447,"[10, 6]"
448,[3]
449,"[6, 10, 15, 16, 17, 18, 19]"
450,"[6, 9, 10, 15, 16, 18, 19, 20]"
451,"[4, 8, 10, 14, 15, 17, 19, 20]"
452,"[2, 6, 9, 10, 12, 15, 19, 20]"
453,"[6, 10, 15, 16, 19, 20]"
454,"[10, 14, 7]"
455,"[9, 12]"
456,"[6, 9, 10, 12, 15, 16, 19, 20]"
457,"[2, 6, 9, 10, 18, 19, 20]"
458,"[2, 6, 9, 10, 18, 19, 20]"
459,"[6, 9, 10, 15, 16, 19]"
460,"[4, 10, 14, 15, 17, 19, 20]"
461,"[1, 6, 10, 15, 19, 20]"
462,"[9, 6]"
463,"[6, 9, 10, 15, 16, 18, 19, 20]"
464,"[16, 15]"
465,"[5, 6, 7, 10, 12, 15, 19, 20]"
466,"[6, 14, 15, 17, 19, 20]"
467,"[10, 6]"
468,"[6, 10, 14, 15, 16, 17, 19, 20]"
469,"[6, 7, 15, 16, 18, 19, 20]"
470,"[6, 10, 15, 16, 20]"
471,"[2, 6, 9, 10, 15, 18, 20]"
472,"[6, 8, 10, 14, 15, 17, 19, 20]"
473,"[9, 10, 15, 16, 18, 19]"
474,"[1, 9, 10, 15, 16, 18, 19, 20]"
475,"[7, 10, 15, 16, 20]"
476,"[4, 6, 7, 10, 12, 15, 19]"
477,"[16, 20, 6, 15]"
478,"[6, 7, 10, 11, 15, 16, 19, 20]"
479,"[1, 19, 7]"
480,"[5, 6, 7, 10, 12, 15, 16, 19]"
481,"[5, 6, 7, 10, 12, 15, 16, 19]"
482,"[4, 6, 8, 10, 14, 15, 17, 19]"
483,"[1, 19, 20]"
484,"[6, 10, 16, 19, 20]"
485,[6]
486,"[10, 20]"
487,"[12, 20, 7]"
488,"[4, 8, 10, 15, 17, 19, 20]"
489,"[20, 15]"
490,"[9, 10, 11, 12]"
491,"[6, 8, 14, 15, 17, 19, 20]"
492,"[6, 10, 12, 16, 20]"
493,"[1, 9, 10, 15, 16, 18, 19, 20]"
494,"[1, 4, 8, 10, 14, 15, 17]"
495,"[6, 10, 16, 18, 19, 20]"
496,"[6, 9, 10, 15, 16, 19, 20]"
497,"[1, 6, 15, 16, 18, 20]"
498,"[7, 10, 15, 16, 19, 20]"
499,"[17, 10, 15]"
500,"[4, 8, 15, 17, 19, 20]"
501,"[16, 20]"
502,"[16, 18, 10, 20]"
503,"[6, 10, 11, 12, 16, 19, 20]"
504,"[6, 7, 10, 12, 15, 19, 20]"
505,"[4, 8, 14, 15, 17, 18, 20]"
506,"[1, 4, 10, 11, 14, 15, 17, 19]"
507,"[1, 17, 14]"
508,"[6, 9, 10, 12, 15, 18, 19]"
509,"[9, 10, 16, 18, 19]"
510,"[1, 7, 10, 12, 14, 15, 19, 20]"
511,"[6, 7, 10, 12, 15, 16, 19, 20]"
512,"[9, 10, 12, 15, 19, 20]"
513,"[19, 18, 10]"
514,"[2, 9, 10, 15, 18, 19, 20]"
515,"[8, 14, 15, 17, 19, 20]"
516,"[7, 10, 15, 16, 18, 19, 20]"
517,"[4, 8, 15, 17, 19]"
518,"[1, 6, 7, 10, 12, 15, 16, 19]"
519,"[1, 10, 15, 16, 19, 20]"
520,"[4, 8, 10, 14, 15, 17, 18]"
521,"[1, 6, 8, 10, 14, 15, 17, 19]"
522,[9]
523,"[6, 7, 10, 15, 18, 19, 20]"
524,"[6, 7, 10, 11, 15, 18, 19, 20]"
525,"[10, 11, 12]"
526,"[2, 7, 9, 15, 20]"
527,"[5, 6, 7, 10, 12, 15, 16, 19]"
528,"[6, 9, 10, 11, 15, 18, 19, 20]"
529,"[6, 7, 9, 10, 15, 18, 20]"
530,"[17, 10, 19, 4]"
531,"[16, 9]"
532,"[10, 19, 4, 20]"
533,[20]
534,"[1, 10, 16, 17, 18]"
535,"[1, 6, 10, 15, 16, 18, 19, 20]"
536,"[9, 10, 11, 15, 19, 20]"
537,"[6, 8, 10, 14, 15, 19, 20]"
538,"[1, 10, 15, 16, 18, 19, 20]"
539,"[9, 19, 15]"
540,"[15, 7]"
541,"[6, 7, 9, 15, 18, 20]"
542,"[10, 18, 4]"
543,"[6, 9, 10, 16, 18]"
544,"[6, 9, 15, 16, 19, 20]"
545,"[6, 9, 10, 16, 19, 20]"
546,"[1, 18, 20]"
547,"[1, 15, 16, 18, 20]"
548,"[9, 10, 12, 15, 16, 19, 20]"
549,"[6, 10, 14, 15, 17, 18, 19, 20]"
550,"[8, 10, 14, 15, 17, 20]"
551,[11]
552,"[6, 9, 15, 19, 20]"
553,"[9, 10, 15, 16, 18, 19]"
554,"[1, 9, 10, 15, 16, 18, 19, 20]"
555,"[4, 6, 8, 10, 14, 15, 17, 19]"
556,"[6, 7, 15, 18, 19]"
557,"[6, 9, 10, 15, 16, 18, 19, 20]"
558,"[2, 9, 10, 11, 15, 18, 19]"
559,"[2, 6, 10, 18, 19, 20]"
560,"[16, 10, 11, 20]"
561,"[9, 10, 12, 16, 19]"
562,"[6, 9, 10, 11, 12, 19, 20]"
563,"[19, 7]"
564,"[10, 20]"
565,"[6, 15, 16, 19, 20]"
566,"[6, 7, 10, 11, 15, 16, 19, 20]"
567,"[6, 7, 8, 17, 19]"
568,"[7, 10, 11, 15, 16, 19, 20]"
569,"[7, 10, 12, 19, 20]"
570,"[4, 8, 10, 14, 15, 17, 19, 20]"
571,"[9, 10, 11, 18, 19, 20]"
572,"[19, 9, 11]"
573,"[4, 8, 10, 14, 15, 17, 19]"
574,"[9, 10, 20]"
575,"[8, 10, 14, 15, 17, 18, 19, 20]"
576,"[4, 10, 14, 15, 16, 17]"
577,"[3, 10, 18, 20]"
578,"[6, 7, 10, 12, 15, 16, 19, 20]"
579,"[6, 7, 9, 10, 15, 18, 19, 20]"
580,"[5, 6, 7, 10, 12, 15, 19, 20]"
581,"[10, 5]"
582,"[6, 7, 11, 15, 18, 19, 20]"
583,"[6, 8, 10, 14, 15]"
584,"[2, 6, 15, 18, 19, 20]"
585,"[9, 10, 15, 16, 18, 19, 20]"
586,"[7, 10, 16, 18, 20]"
587,"[7, 10, 14, 15, 18, 19, 20]"
588,"[6, 9, 10, 15, 18, 19, 20]"
589,"[10, 15, 18, 19, 20]"
590,"[6, 7, 10, 12, 16, 19, 20]"
591,"[6, 8, 10, 14, 15, 17, 19, 20]"
592,"[6, 7, 9, 10, 15, 19, 20]"
593,"[10, 19, 20, 15]"
594,"[18, 10, 20, 6]"
595,"[8, 10, 20, 6]"
596,"[2, 6, 9, 15, 18, 19, 20]"
597,"[1, 4, 10, 14, 15, 16, 17, 19]"
598,"[6, 10, 12, 15, 16, 19]"
599,"[1, 10, 14, 15, 16, 18, 19]"
600,"[6, 9, 10, 12, 15, 18, 19]"
601,"[1, 6, 10, 12, 15, 16, 19, 20]"
602,"[2, 6, 9, 10, 15, 18, 19]"
603,"[8, 10, 14, 15, 17, 19, 20]"
604,"[7, 10, 12, 15, 18, 19]"
605,"[16, 10, 19, 20]"
606,"[6, 7, 10, 14, 15, 19, 20]"
607,"[6, 7, 10, 15, 16, 18, 19]"
608,"[6, 10, 15, 16, 18]"
609,[6]
610,"[16, 10, 6, 7]"
611,"[1, 10, 14, 15, 16, 19, 20]"
612,"[9, 10, 19, 12]"
613,"[6, 10, 15, 16, 18, 19, 20]"
614,"[6, 10, 11, 18, 19, 20]"
615,[8]
616,"[4, 8, 10, 14, 15, 17, 19, 20]"
617,"[9, 15, 16, 19, 20]"
618,"[10, 20, 15]"
619,[19]
620,"[17, 18, 20, 15]"
621,"[4, 8, 10, 14, 15, 17, 19, 20]"
622,"[2, 6, 9, 12, 15, 19]"
623,"[6, 7, 10, 15, 19]"
624,"[6, 10, 14, 15, 16, 19, 20]"
625,"[19, 5]"
626,"[6, 7, 10, 12, 15, 17, 19, 20]"
627,"[8, 10, 14, 15, 17, 18, 19, 20]"
628,"[16, 9, 18]"
629,"[2, 6, 9, 10, 15, 18, 19, 20]"
630,"[7, 14, 15, 17, 20]"
631,[16]
632,"[4, 8, 14, 15, 17, 19, 20]"
