student,weak_knowledge
57,"[3, 6, 7, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 25, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 56, 58, 59, 60, 61, 62, 63, 65, 66, 67, 69, 71, 72, 73, 75, 76, 77, 78, 81, 82, 83, 84, 85, 86, 88, 89, 90, 91, 92, 93, 95, 96, 97, 98, 99, 100]"
58,"[5, 6, 7, 9, 12, 13, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 43, 45, 46, 48, 50, 52, 53, 54, 56, 58, 59, 60, 61, 62, 64, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 81, 84, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 100, 101]"
59,"[1, 4, 7, 9, 13, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28, 31, 32, 33, 38, 40, 41, 42, 44, 46, 49, 52, 53, 54, 55, 56, 59, 60, 62, 63, 64, 65, 66, 68, 74, 75, 78, 79, 80, 81, 82, 83, 84, 86, 87, 88, 89, 91, 93, 95, 97, 98, 99, 100, 101]"
60,"[1, 2, 3, 5, 6, 7, 9, 10, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 50, 51, 53, 54, 55, 56, 57, 58, 60, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 80, 82, 84, 85, 87, 88, 89, 90, 91, 92, 93, 94, 95, 97, 98, 100, 101]"
61,"[1, 2, 3, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 41, 43, 45, 46, 47, 48, 49, 50, 51, 52, 53, 55, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 74, 75, 78, 80, 81, 82, 83, 84, 86, 87, 88, 89, 90, 91, 92, 93, 95, 97, 98, 99, 101]"
62,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 16, 20, 22, 23, 24, 25, 29, 30, 31, 32, 33, 34, 35, 37, 39, 40, 41, 42, 43, 45, 46, 47, 49, 50, 51, 52, 53, 54, 58, 59, 60, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 73, 74, 75, 76, 77, 79, 80, 83, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 98, 99, 101]"
63,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 19, 20, 21, 22, 23, 25, 27, 28, 30, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 52, 53, 54, 55, 57, 58, 59, 60, 63, 64, 65, 68, 69, 70, 72, 73, 74, 75, 76, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 89, 90, 91, 94, 95, 96, 97, 98, 99]"
64,"[4, 6, 10, 12, 13, 14, 16, 17, 19, 20, 21, 23, 24, 25, 26, 28, 29, 30, 32, 35, 37, 38, 39, 40, 41, 42, 44, 46, 48, 49, 51, 52, 53, 55, 58, 60, 63, 64, 65, 66, 67, 69, 70, 74, 75, 77, 78, 79, 81, 83, 86, 88, 89, 94, 95, 96, 97, 98, 99, 100, 101]"
65,"[1, 2, 3, 5, 6, 7, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 30, 31, 32, 34, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 53, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 83, 84, 85, 87, 88, 89, 90, 93, 95, 96, 97, 98, 99, 100]"
66,"[2, 3, 4, 6, 7, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 57, 58, 60, 61, 63, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 89, 91, 93, 94, 95, 96, 97, 99, 100, 101]"
67,"[12, 14, 15, 16, 17, 19, 20, 23, 26, 27, 28, 29, 30, 32, 34, 35, 36, 37, 38, 41, 42, 44, 48, 50, 51, 53, 54, 55, 56, 57, 61, 64, 65, 69, 73, 74, 75, 76, 79, 80, 82, 83, 85, 87, 88, 90, 92, 94, 97, 99, 100, 101]"
68,"[1, 13, 20, 22, 23, 28, 29, 31, 35, 36, 37, 42, 49, 50, 51, 53, 54, 56, 58, 61, 63, 64, 65, 69, 72, 73, 74, 75, 76, 77, 78, 79, 80, 83, 85, 88, 90, 91, 93, 94, 95]"
69,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 53, 55, 57, 58, 59, 60, 62, 63, 64, 65, 66, 67, 68, 69, 71, 72, 73, 74, 76, 78, 80, 81, 82, 84, 85, 86, 87, 90, 91, 93, 96, 97, 98, 99, 100, 101]"
70,"[1, 2, 3, 4, 5, 8, 10, 16, 17, 18, 19, 20, 22, 24, 26, 27, 28, 29, 30, 32, 34, 35, 37, 41, 42, 44, 45, 49, 51, 53, 54, 56, 64, 65, 66, 67, 68, 73, 78, 79, 80, 82, 84, 86, 88, 89, 90, 95, 96, 97, 98, 99, 100, 101]"
