student,exercise
153,"[1, 3, 5, 8, 10, 14, 15, 16, 18, 20]"
154,"[1, 6, 8, 12, 14, 15, 16, 18, 20]"
155,"[1, 3, 6, 10, 11, 12, 15, 16, 20]"
156,"[1, 3, 4, 5, 9, 15, 16, 18, 20]"
157,"[1, 8, 9, 12, 20]"
158,"[5, 8, 13, 18, 19]"
159,"[16, 9, 20, 1]"
160,"[5, 6, 8, 11, 12, 13, 16, 18, 19, 20]"
161,"[6, 8, 12, 16, 20]"
162,"[4, 5, 8, 14, 16, 18, 19]"
163,[18]
164,"[1, 4, 5, 8, 9, 11, 16, 18, 20]"
165,"[1, 5, 8, 11, 15, 16, 18, 19, 20]"
166,"[3, 5, 6, 7, 8, 9, 12, 15]"
167,"[1, 8, 11, 13, 14, 16, 17, 18, 19]"
168,"[2, 6, 11, 16, 19]"
169,"[8, 17, 5, 14]"
170,"[8, 12, 14, 16, 17, 20]"
171,"[1, 3, 8, 10, 13, 17]"
172,"[1, 3, 8, 9, 15, 16, 18, 20]"
173,"[1, 3, 5, 6, 8, 9, 10, 11, 12, 18]"
174,"[1, 6, 7, 8, 12, 14, 17, 18, 19, 20]"
175,"[1, 3, 4, 5, 8, 9, 16, 18, 19, 20]"
176,"[1, 5, 10, 11, 16, 19]"
177,"[1, 6, 8, 9, 11, 12, 16, 18, 19, 20]"
178,"[3, 6, 8, 9, 15, 16, 18, 19, 20]"
179,"[1, 4, 5, 8, 11, 14, 15, 16, 18, 20]"
180,"[14, 15, 17, 18, 19]"
181,"[1, 6, 8, 11, 12, 13, 14, 17, 18, 19]"
182,"[4, 5, 10, 12, 16, 18, 20]"
183,"[1, 2, 3, 8, 11, 14, 15, 17, 18, 19]"
184,"[1, 5, 6, 7, 8, 11, 12, 16, 18]"
185,"[1, 8, 13, 19, 20]"
186,"[1, 6, 7, 8, 11, 12, 13, 16, 19, 20]"
187,"[1, 5, 8, 11, 15, 16, 20]"
188,"[1, 3, 5, 8, 10, 14, 15, 18, 20]"
189,"[1, 6, 8, 9, 11, 12, 16, 18, 19, 20]"
190,"[3, 4, 5, 6, 8, 11, 12, 13, 18]"
191,"[6, 7, 11, 13, 20]"
192,"[5, 6, 8, 9, 10, 12, 15, 16, 18, 20]"
193,"[3, 5, 8, 10, 11, 13, 16, 18, 20]"
194,"[5, 6, 8, 9, 11, 12, 13, 16, 18, 20]"
195,"[3, 4, 5, 6, 7, 11, 12, 18]"
196,"[3, 5, 9, 11, 15, 16, 18]"
197,"[1, 8, 10, 14, 15, 19, 20]"
198,"[3, 6, 8, 11, 12, 13, 15, 16, 18, 20]"
199,"[1, 3, 5, 8, 11, 13, 15, 16, 18, 20]"
200,"[8, 18, 10]"
201,"[3, 4, 8, 9, 15, 16, 18]"
202,"[3, 4, 5, 6, 7, 9, 10, 12, 15, 18]"
203,"[3, 4, 5, 6, 7, 8, 11, 12, 15, 18]"
204,"[1, 3, 5, 8, 10, 11, 15, 16, 18, 20]"
205,"[5, 6, 8, 9, 10, 12, 15, 16, 18, 20]"
206,"[1, 6, 8, 12, 14, 15, 16, 18, 19, 20]"
207,"[5, 6, 8, 9, 12, 15, 18]"
208,"[1, 5, 9, 11, 16, 18, 19, 20]"
209,"[5, 10, 11, 15, 16, 18, 20]"
210,"[3, 5, 6, 8, 11, 12, 13, 18, 19]"
211,"[1, 5, 7, 12, 16, 18, 20]"
212,"[6, 8, 11, 12, 13, 15, 16, 20]"
213,"[1, 6, 8, 11, 12, 14, 17, 18, 19]"
214,"[2, 5, 6, 7, 8, 12, 15, 18, 19, 20]"
215,"[18, 19, 20, 15]"
216,"[6, 8, 9, 10, 12, 15, 16, 18, 19, 20]"
217,"[3, 4, 5, 6, 7, 11, 12, 18]"
218,"[5, 8, 10, 14, 15, 16, 17, 18, 20]"
219,"[1, 2, 5, 8, 10, 11, 15, 16, 18, 20]"
220,"[6, 8, 10, 11, 12, 15, 16, 18, 19, 20]"
221,"[3, 5, 6, 9, 12, 15, 16, 18, 20]"
222,"[5, 8, 14, 15, 16, 18, 20]"
223,"[9, 12]"
224,"[3, 5, 8, 9, 10, 12, 15, 18, 20]"
225,"[4, 6, 8, 11, 12, 13, 16, 18, 20]"
226,"[2, 5, 6, 8, 11, 18]"
227,"[8, 9, 2, 12]"
228,"[1, 4, 5, 11, 13, 16, 18, 20]"
229,"[5, 8, 10, 11, 13, 15, 16, 18, 19, 20]"
230,"[3, 4, 5, 12, 16, 18, 20]"
231,"[1, 5, 8, 11, 13, 15, 16, 18]"
232,"[1, 5, 9, 10, 11, 13, 15, 16, 18, 20]"
233,"[1, 5, 8, 11, 15, 16, 18]"
234,"[1, 2, 4, 5, 8, 11, 16, 18, 19, 20]"
235,"[3, 11]"
236,"[1, 5, 8, 9, 16, 18, 19]"
237,"[4, 5, 6, 8, 9, 11, 12, 18]"
238,"[16, 1]"
239,"[5, 6, 8, 11, 12, 13, 15, 16, 18, 20]"
240,"[3, 5, 6, 11, 12, 13, 15, 16, 18]"
241,"[3, 12, 15]"
242,"[1, 4, 5, 10, 14, 15, 16, 18, 20]"
243,"[1, 3, 4, 5, 8, 9, 10, 16, 18]"
244,"[3, 5, 6, 8, 9, 12, 15, 16, 18, 20]"
245,"[8, 14, 15, 16, 17]"
246,"[1, 8, 10, 13, 18, 19, 20]"
247,"[3, 4, 5, 11, 18, 19, 20]"
248,"[1, 4, 9, 18, 19, 20]"
249,"[1, 4, 5, 6]"
250,"[1, 8, 9, 11, 13, 15, 16, 18, 20]"
251,"[1, 2, 6, 8, 12, 15, 16, 19, 20]"
252,"[4, 5, 8, 11, 16, 18, 20]"
253,"[1, 5, 6, 7, 9, 12, 16]"
254,"[1, 8, 9, 15, 16, 18, 20]"
255,"[5, 6, 12, 15, 18, 20]"
256,"[1, 5, 8, 15, 16, 18, 19, 20]"
257,"[1, 6, 8, 10, 12, 15, 16, 18, 19, 20]"
258,"[1, 5, 6, 7, 8, 12, 15, 18]"
259,"[3, 6, 7, 10, 11, 15, 16, 20]"
260,[20]
261,"[1, 3, 5, 11, 13, 16, 18]"
262,"[1, 4, 5, 8, 9, 10, 15, 16, 18, 20]"
263,"[1, 4, 5, 11, 16, 20]"
264,"[18, 10, 20]"
265,"[1, 4, 8, 9, 11, 15, 16, 18, 20]"
266,"[6, 7, 8, 11, 12, 15, 16]"
267,"[16, 17, 14, 15]"
268,"[7, 8, 10, 11, 12, 15, 16, 20]"
269,"[1, 4, 5, 8, 9, 10, 15, 16, 18, 20]"
270,"[8, 5]"
271,"[1, 2, 4, 5, 8, 9, 15, 16, 18, 20]"
272,"[1, 3, 8, 10, 16, 20]"
273,"[1, 4, 12, 18, 20]"
274,"[9, 15, 18, 19, 20]"
275,"[1, 3, 5, 11, 13, 15, 16, 18, 20]"
276,"[4, 5, 8, 11, 12, 18]"
277,"[1, 3, 4, 5, 8, 10, 15, 16, 18, 20]"
278,"[1, 2, 5, 8, 14, 16, 17, 19, 20]"
279,"[3, 6, 7, 8, 10, 12, 15, 16, 18, 20]"
280,"[1, 3, 5, 11, 16]"
281,"[1, 3, 4, 5, 6, 8, 12, 18]"
282,"[3, 4, 6, 11, 12, 13, 15, 18, 20]"
283,"[4, 5, 8, 10, 12, 15, 16, 18, 20]"
284,"[5, 11, 13, 19, 20]"
285,"[1, 9, 11, 16, 18, 20]"
286,"[2, 3, 8, 11, 15, 16, 18, 19, 20]"
287,"[1, 3, 5, 8, 10, 15, 16, 20]"
288,"[3, 8, 10, 11, 13, 15, 16, 18, 20]"
289,"[3, 4, 5, 8, 9, 10, 15, 16, 18, 20]"
290,"[1, 4, 5, 8, 11, 15, 16, 18, 19, 20]"
291,"[8, 11, 12, 15, 18, 19]"
292,"[3, 5, 6, 12, 15, 16, 20]"
293,"[8, 9]"
294,"[11, 12, 13, 15, 16, 20]"
295,"[1, 8, 14, 15, 16, 18, 19, 20]"
296,"[1, 5, 8, 15, 16, 17, 18, 19, 20]"
297,"[5, 8, 11, 12, 13, 15, 16, 18, 20]"
298,"[1, 5, 11, 14, 16, 17, 18, 20]"
299,"[1, 20, 4, 15]"
300,"[2, 4, 8, 18, 19]"
301,"[3, 5, 8, 10, 11, 15, 16, 18]"
302,"[1, 6, 8, 12, 14, 15, 16, 17, 18]"
303,"[3, 5, 8, 10, 11, 13, 15, 16, 18, 20]"
304,"[3, 4, 8, 15, 16]"
305,"[1, 3, 4, 5, 7, 10, 15, 16, 20]"
306,"[1, 5, 8, 10, 11, 13, 15, 16, 18, 20]"
307,"[1, 3, 4, 5, 8, 20]"
308,"[1, 4, 9, 14, 15, 17, 18, 20]"
309,"[1, 6, 8, 11, 12, 14, 16, 18, 20]"
310,"[8, 16, 20, 1]"
311,"[1, 4, 5, 8, 14, 16, 17, 18, 19, 20]"
312,"[6, 8, 12, 16, 18, 19, 20]"
313,"[1, 5, 8, 10, 11, 15, 16, 20]"
314,"[3, 4, 5, 8, 11, 13, 15, 18, 19, 20]"
315,"[5, 8, 16, 18, 20]"
316,"[3, 5, 12, 16, 18]"
317,"[1, 3, 5, 8, 16]"
318,"[1, 3, 8, 10, 18]"
319,"[1, 5, 8, 12, 19]"
320,"[1, 8, 10, 14, 15, 16, 17, 18, 19, 20]"
321,"[1, 5, 11, 13, 15, 16, 18]"
322,"[10, 15, 17, 18, 20]"
323,"[3, 8, 11, 15, 16, 18]"
324,"[3, 4, 5, 8, 9, 10, 11, 15, 18, 20]"
325,"[3, 4, 5, 8, 9, 10, 15, 16, 18, 20]"
326,"[1, 2, 8, 10, 11, 13, 15, 16, 18, 19]"
327,"[3, 4, 5, 8, 15, 16, 18, 20]"
328,"[1, 8, 11, 12, 14, 15, 16, 17, 18, 20]"
329,"[3, 6, 11, 12, 18, 19, 20]"
330,"[8, 18, 3, 20]"
331,"[1, 20]"
332,"[12, 14, 16, 18, 20]"
333,"[1, 3, 4, 5, 8, 10, 15, 16, 18]"
334,"[1, 5, 8, 10, 15, 16, 18, 19]"
335,"[1, 2, 3, 6, 8, 11, 12, 17, 18, 19]"
336,"[1, 10, 11, 15, 19, 20]"
337,"[1, 5, 8, 15, 16, 18, 20]"
338,"[1, 3, 5, 8, 10, 11, 15, 16, 20]"
339,"[1, 5, 8, 10, 11, 15, 16, 18, 19, 20]"
340,"[1, 5, 10, 14, 15, 16, 17, 18, 20]"
341,"[1, 8, 9, 10, 14, 15, 16, 17, 18, 20]"
342,"[4, 15]"
343,"[8, 10, 18, 15]"
344,"[5, 7, 8, 16, 20]"
345,"[1, 3, 9, 11, 13, 18, 20]"
346,"[8, 16, 18, 13]"
347,"[3, 4, 5, 8, 9, 10, 15, 16, 18, 20]"
348,"[16, 1, 18, 20]"
349,"[1, 6, 8, 11, 12, 15, 16, 18, 19, 20]"
350,"[1, 8, 11, 14, 16, 17, 20]"
351,"[1, 6, 8, 11, 12, 13, 15, 16, 18, 20]"
352,"[1, 20, 15]"
353,"[1, 3, 6, 8, 10, 11, 12, 18, 19]"
354,"[1, 5, 6, 8, 10, 12, 16, 18, 20]"
355,"[12, 4, 15]"
356,"[1, 3, 4, 5, 11, 13, 15, 18, 20]"
357,"[1, 5, 8, 9, 14, 17, 18, 19, 20]"
358,"[18, 12, 15]"
359,"[2, 3, 4, 5, 8, 11, 13, 15, 18, 19]"
360,"[1, 6, 8, 12, 14, 16, 17, 18, 19, 20]"
361,"[1, 5, 8, 9, 14, 16, 17, 18, 19, 20]"
362,"[1, 8, 10, 11, 14, 15, 16, 17, 18]"
363,"[5, 9, 12, 15, 19]"
364,"[3, 8, 10, 11, 13, 15, 16, 18, 20]"
365,"[1, 3, 5, 8, 11, 16, 18, 20]"
366,"[16, 8, 18, 12]"
367,"[6, 7, 8, 11, 12, 15, 16, 18, 19, 20]"
368,"[2, 3, 6, 8, 11, 12, 13, 18, 19]"
369,"[3, 4, 7, 10, 18, 20]"
370,"[3, 5, 6, 7, 8, 9, 10, 12, 15, 18]"
371,"[3, 4, 5, 6, 7, 8, 9, 12, 15, 18]"
372,"[16, 1, 4, 8]"
373,"[3, 8, 11, 12, 13, 15, 16, 18, 20]"
374,"[8, 19, 12, 6]"
375,"[5, 8, 11, 12, 16, 18, 20]"
376,"[1, 2, 8, 10, 11, 13, 15, 17]"
377,"[2, 3, 5, 6, 8, 12, 15, 16, 18, 20]"
378,"[1, 3, 8, 9, 10, 15, 18, 20]"
379,"[3, 4, 5, 6, 12, 15, 16, 18, 20]"
380,"[1, 12, 14]"
381,"[1, 2, 5, 8, 9, 15, 16, 18, 19, 20]"
382,"[17, 3, 12]"
383,"[1, 6, 7, 8, 11, 18, 20]"
384,"[3, 8, 16, 18, 19]"
385,"[1, 3, 5, 8, 11, 15, 16, 18]"
386,"[4, 5, 9, 10, 15, 16, 18]"
387,"[3, 5, 8, 10, 12, 15, 18, 20]"
388,"[1, 4, 5, 10, 15, 16, 18]"
389,"[8, 20, 14, 15]"
390,"[1, 8, 11, 15, 16, 17, 18, 20]"
391,"[1, 8, 9, 10, 12, 15, 18, 20]"
392,"[1, 2, 6, 8, 11, 12]"
393,"[1, 12, 15, 16, 18, 20]"
394,"[8, 1, 20, 15]"
395,"[1, 2, 3, 4, 5, 8, 10, 11, 16, 18]"
396,"[4, 5, 8, 14, 15, 16, 17, 18, 20]"
397,"[3, 5, 6, 8, 12, 16, 18, 20]"
398,"[8, 3]"
399,"[1, 5, 8, 9, 10, 15, 16, 18, 19, 20]"
400,"[2, 5, 8, 11, 13, 15, 19, 20]"
401,"[1, 4, 5, 8, 15, 16, 18, 20]"
402,"[1, 2, 10, 15, 16, 18]"
403,"[19, 4, 20]"
404,"[7, 8, 11, 16, 18, 19]"
405,"[1, 2, 3, 5, 8, 11, 18, 19, 20]"
406,"[1, 3, 8, 11, 13, 16, 18, 20]"
407,"[1, 2, 8, 15, 16, 19]"
408,"[5, 6, 8, 9, 18, 20]"
409,"[1, 3, 5, 8, 9, 11, 16, 18, 20]"
410,"[4, 5, 8, 9, 16, 17, 18, 20]"
411,"[2, 7, 9, 12, 16, 18, 20]"
412,"[1, 4, 5, 9, 14, 15, 16, 17, 18, 20]"
413,"[1, 5, 6, 11, 12, 13, 14, 16, 18, 20]"
414,"[1, 3, 4, 5, 8, 9, 15, 20]"
415,"[1, 3, 4, 5, 8, 10, 15, 16, 18, 20]"
416,"[10, 11, 13, 15, 16, 19]"
417,"[6, 8, 11, 12, 15]"
418,"[1, 5, 8, 11, 14, 16, 17, 18, 19, 20]"
419,"[1, 2, 8, 11, 13, 14, 17, 18, 19, 20]"
420,"[2, 6, 7, 8, 11, 12, 13, 16, 18, 20]"
421,"[1, 4, 10, 15, 16, 18, 19, 20]"
422,"[3, 4, 8, 10, 16, 20]"
423,"[3, 4, 5, 8, 9, 10, 11, 15, 18, 20]"
424,"[1, 3, 4, 5, 9, 10, 15, 16, 18, 20]"
425,"[1, 3, 9, 13, 15, 16, 18, 20]"
426,"[5, 8, 11, 14, 15, 16, 17, 18, 20]"
427,"[1, 3, 4, 5, 8, 10, 15, 16, 18, 20]"
428,"[4, 5, 6, 9, 12, 15, 18, 20]"
429,"[8, 19, 10, 11]"
430,"[1, 5, 8, 11, 16, 17, 18, 19, 20]"
431,"[3, 8, 9, 11, 18]"
432,"[1, 3, 4, 5, 8, 10, 20]"
433,"[3, 5, 9, 10, 11, 16, 20]"
434,"[1, 5, 11, 15, 16, 18, 19, 20]"
435,"[4, 5, 11, 13, 16, 18, 20]"
436,"[6, 11, 12, 13, 15, 16, 18, 19, 20]"
437,"[2, 6, 7, 11, 12, 16, 18, 19]"
438,"[1, 4, 5, 8, 9, 11, 14, 16, 18, 20]"
439,"[3, 4, 5, 10, 11, 13, 15, 16]"
440,"[8, 11, 14, 15, 16, 17, 18, 19, 20]"
441,"[4, 6, 8, 12, 16]"
442,"[1, 5, 11, 13, 14, 15, 16, 17, 18, 20]"
443,"[6, 7, 8, 11, 12, 16, 20]"
444,"[5, 6, 8, 9, 11, 12, 13, 16, 18, 20]"
445,"[3, 7, 8, 12, 15]"
446,"[5, 9, 10, 15, 18]"
447,"[3, 5, 11, 15, 18, 20]"
448,"[3, 5, 8, 10, 11, 15, 18, 19, 20]"
449,"[1, 8, 9, 15, 20]"
450,"[1, 8, 11, 14, 15, 16, 18]"
451,"[1, 4, 5, 8, 10, 11, 15, 16, 18, 20]"
452,"[1, 3, 11, 13, 15, 16, 18, 20]"
453,"[1, 4, 11, 14, 15, 16, 18, 20]"
454,"[1, 3, 4, 8, 11, 19, 20]"
455,[1]
456,"[8, 19, 15]"
457,"[1, 3, 4, 5, 9, 10, 16, 18, 20]"
458,"[1, 8, 11, 16, 17, 19, 20]"
459,"[3, 5, 8, 10, 11, 13, 15, 16, 18, 20]"
460,"[1, 2, 5, 8, 9, 15, 16, 18, 19, 20]"
461,"[1, 2, 8, 11, 13, 15, 18, 19]"
462,"[1, 3, 4, 5, 10, 11, 15, 16, 18, 20]"
463,"[4, 5, 8, 10, 15, 20]"
464,"[8, 1, 14, 17]"
465,"[1, 3, 5, 8, 9, 10, 18, 20]"
466,"[5, 6, 7, 8, 11, 12, 15, 16, 18, 20]"
467,"[5, 6, 8, 11, 12, 13, 15, 16, 18, 20]"
468,"[2, 6, 7, 8, 12, 16, 19]"
469,"[7, 8, 11, 12, 13, 16, 19, 20]"
470,"[1, 3, 6, 7, 8, 11, 12, 13, 14, 17]"
471,"[3, 6, 8, 11, 12, 15, 18, 20]"
472,"[1, 5, 8, 9, 14, 15, 16, 17, 18]"
473,"[17, 4, 5, 15]"
474,"[1, 3, 8, 10, 11, 15, 16, 18, 19, 20]"
475,"[8, 1, 5]"
476,"[1, 5, 15, 16, 18, 20]"
477,"[1, 5, 8, 9, 11, 14, 18]"
478,"[1, 4, 5, 6, 8, 12, 14, 18, 19]"
479,"[1, 10, 19, 15]"
480,"[1, 8, 11, 17, 18, 20]"
481,"[3, 10, 11, 13, 15, 16, 18, 20]"
482,"[5, 8, 15, 16, 20]"
483,"[1, 8, 11, 13, 15, 16, 18]"
484,"[1, 2, 4, 8, 15, 16, 18, 19, 20]"
485,"[3, 5, 15, 16, 20]"
486,"[8, 1, 4]"
487,"[9, 10, 12, 15, 16, 18, 20]"
488,"[1, 4, 5, 6, 7, 8, 11, 12, 18, 19]"
489,"[1, 3, 5, 11, 16, 18, 20]"
490,"[1, 3, 4, 5, 9, 10, 15, 16, 18, 20]"
491,"[1, 4, 5, 8, 10, 15, 16, 18, 20]"
492,"[1, 5, 6, 7, 8, 12, 15, 16, 18, 20]"
493,"[1, 2, 5, 8, 10, 16, 18, 20]"
494,"[2, 3, 5, 6, 8, 11, 13, 18]"
495,"[2, 3, 6, 7, 8, 10, 11, 12, 15, 19]"
496,"[5, 6, 7, 8, 15, 18, 19, 20]"
497,"[1, 4, 5, 9, 11, 16, 18, 20]"
498,"[2, 5, 6, 7, 8, 11, 12, 13, 18, 20]"
499,"[6, 8, 11, 12, 14, 16, 18, 19, 20]"
500,"[5, 8, 10, 11, 15, 16, 17, 18, 20]"
501,"[1, 5, 8, 9, 14, 15, 16, 17, 18, 20]"
502,"[3, 5, 6, 7, 8, 9, 10, 12, 18]"
503,"[1, 10, 14, 15, 16, 18, 20]"
504,"[3, 8, 11, 15, 20]"
505,"[1, 4, 11, 15, 16, 18, 19, 20]"
506,"[1, 5, 8, 11, 13, 15, 16, 19, 20]"
507,"[1, 8, 11, 13, 14, 15, 16, 17, 18, 20]"
508,"[1, 2, 5, 8, 10, 11, 15, 16]"
509,"[1, 6, 8, 11, 12, 15, 18, 19, 20]"
510,"[1, 6, 14, 16, 18]"
